id;cep;uf;cidade;bairro;logradouro;numero;complemento;latitude;longitude
1;customized Filmes Strategist;Forward Unidos;Peixe e-markets;back-end Forward;Eletrônicos;Avenida Integration;ouro bandwidth-monitored;33750;49377
2;quantify calculate Plástico;Personal deposit;Taiwan;Account;circuit;Bacon prata Borracha;Benin Boliviano Mato;75498;8572
3;transmit;petróleo Rio Concreto;SQL visualize;copy;Money backing Pequeno;interactive Rodovia Centralized;Facilitator;32451;61881
4;synthesizing Principal;XML marrom;Gibraltar Mato Loan;Saúde Croácia Front-line;Granito Tocantins;Salada;connecting Architect synthesize;15425;1352
5;cenoura Namibia;açafrão;AGP Prático;Bahia;deposit deposit program;Configurable Fresco;Technician scale bypassing;57267;17165
6;IB turn-key;generating bandwidth programming;pixel payment Versatile;generate Implemented Refinado;deposit;Metal solutions;matrix Mobility;6064;72193
7;Loan Peixe reboot;input Forward;verde;Pará transmit Rodovia;Fantástico Beleza;laranja Buckinghamshire program;Savings;14792;7506
8;azul;Amapá Fully-configurable;Plástico orchestration RSS;Savings;Congelado;Buckinghamshire Quality-focused Buckinghamshire;Travessa Rodovia morph;82047;74803
9;Philippine system mão;Engineer Money Fantástico;Reduced;Travessa Analyst;Toalhas copy;Planner matrix;Algodão;42632;53760
10;Account;synthesizing relationships;Creative;Travessa;Saúde à Mato;enterprise;Interface Legacy;46691;49572
